Date,Tickets,Clock In,Clock Out,Elapsed,Total
3/1/2017,CLIN-197,10:00 AM,12:00 PM,2:00:00,34:15:00
3/1/2017,CLIN-204,12:45 PM,1:05 PM,0:20:00,
3/1/2017,CLIN-205,1:05 PM,1:15 PM,0:10:00,
3/1/2017,CLIN-198,1:15 PM,1:30 PM,0:15:00,
3/1/2017,CLIN-202,1:45 PM,5:00 PM,3:15:00,
3/2/2017,CLIN-202,8:30 AM,12:30 PM,4:00:00,
3/2/2017,CLIN-205,12:30 PM,12:45 PM,0:15:00,
3/2/2017,CLIN-202,1:15 PM,2:45 PM,1:30:00,
3/2/2017,CLIN-202,3:15 PM,4:30 PM,1:15:00,
3/3/2017,CLIN-202,10:15 AM,11:15 AM,1:00:00,
3/3/2017,CLIN-202,1:15 PM,2:30 PM,1:15:00,
3/3/2017,Review,2:30 PM,3:00 PM,0:30:00,
3/3/2017,CLIN-212,3:00 PM,4:15 PM,1:15:00,
3/3/2017,CLIN-218,4:15 PM,4:30 PM,0:15:00,
3/3/2017,CLIN-212,4:30 PM,4:45 PM,0:15:00,
3/8/2017,CLIN-212,9:00 AM,10:30 AM,1:30:00,
3/8/2017,CLIN-214,10:45 AM,1:00 PM,2:15:00,
3/8/2017,CLIN-198,1:30 PM,3:00 PM,1:30:00,
3/8/2017,CLIN-216,3:00 PM,5:45 PM,2:45:00,
3/9/2017,CLIN-216,9:00 AM,11:00 AM,2:00:00,
3/9/2017,CLIN-216,12:45 PM,2:00 PM,1:15:00,
3/9/2017,CLIN-217,2:00 PM,4:00 PM,2:00:00,
3/9/2017,Review,4:00 PM,5:00 PM,1:00:00,
3/9/2017,CLIN-217,12:00 PM,2:30 PM,2:30:00,
